Date and Time,Four Wheelers,Bus,Truck,Mini Bus/ Mini Truck,Tractor with trolly,Multiaxle Truck/Crane,Total
11-06-2011 9:00-10:00 AM,79,2,7,56,26,4,174
11-06-2011 10:00-11:00 AM,56,2,4,49,13,3,127
11-06-2011 11:00-12:00 Noon ,76,1,5,53,18,5,158
11-06-2011 12:00-1:00 PM,51,2,15,34,13,7,122
11-06-2011 1:00-2:00 PM,39,1,9,31,8,6,94
11-06-2011 2:00-3:00 PM,41,1,12,29,11,4,98
11-06-2011 3:00-4:00 PM,51,1,8,28,7,3,98
11-06-2011 4:00-5:00 PM,64,3,6,22,6,7,108
11-06-2011 5:00-6:00 PM,53,7,12,19,10,4,105
11-06-2011 6:00-7:00 PM,71,3,15,28,12,7,136
11-06-2011 7:00-8:00 PM,42,4,12,25,3,23,109
11-06-2011 8:00-9:00 PM,31,2,1,18,4,7,63
11-06-2011 9:00-10:00 PM,28,2,4,11,2,5,52
11-06-2011 10:00-11:00 PM,8,1,7,0,0,9,25
11-06-2011 11:00-12:00 AM,23,2,1,4,1,9,40
12-06-2011 12:00-1:00 AM,10,0,1,6,2,6,25
12-06-2011 1:00-2:00 AM,4,0,1,9,0,2,16
12-06-2011 2:00-3:00 AM,2,0,3,3,0,1,9
12-06-2011 3:00-4:00 AM,6,0,3,2,0,3,14
12-06-2011 4:00-5:00 AM,12,1,3,7,1,2,26
12-06-2011 5:00-6:00 AM,20,1,9,11,9,4,54
12-06-2011 6:00-7:00 AM,26,1,5,12,5,3,52
12-06-2011 7:00-8:00 AM,46,2,10,30,11,2,101
12-06-2011 8:00-9:00 AM,82,2,5,11,12,4,116
12-06-2011 9:00-10:00 AM,95,8,8,27,14,6,158
12-06-2011 10:00-11:00 AM,77,3,8,39,8,1,136
12-06-2011 11:00-12:00 Noon ,60,3,16,32,18,4,133
12-06-2011 12:00-1:00 PM,78,2,18,37,18,7,160
12-06-2011 1:00-2:00 PM,66,4,26,49,16,6,167
12-06-2011 2:00-3:00 PM,56,4,14,22,10,4,110
12-06-2011 3:00-4:00 PM,53,1,11,23,7,10,105
12-06-2011 4:00-5:00 PM,76,1,10,16,12,3,118
12-06-2011 5:00-6:00 PM,75,0,10,19,10,7,121
12-06-2011 6:00-7:00 PM,48,3,14,34,19,9,127
12-06-2011 7:00-8:00 PM,52,0,9,11,5,4,81
12-06-2011 8:00-9:00 PM,44,2,4,11,5,2,68
12-06-2011 9:00-10:00 PM,31,1,6,9,3,6,56
12-06-2011 10:00-11:00 PM,12,0,7,0,1,8,28
12-06-2011 11:00-12:00 AM,23,0,15,1,1,13,53
13-06-2011 12:00-1:00 AM,12,0,2,8,0,6,28
13-06-2011 1:00-2:00 AM,5,0,5,5,0,2,17
13-06-2011 2:00-3:00 AM,3,0,2,5,0,1,11
13-06-2011 3:00-4:00 AM,5,0,4,2,1,3,15
13-06-2011 4:00-5:00 AM,13,1,6,8,2,5,35
13-06-2011 5:00-6:00 AM,22,2,11,8,4,4,51
13-06-2011 6:00-7:00 AM,30,1,7,25,9,12,84
13-06-2011 7:00-8:00 AM,35,3,6,46,12,10,112
13-06-2011 8:00-9:00 AM,60,0,7,40,20,2,129
13-06-2011 9:00-10:00 AM,69,12,9,23,20,1,134
13-06-2011 10:00-11:00 AM,104,18,19,14,23,1,179
13-06-2011 11:00-12:00 PM,78,6,12,21,12,5,134
13-06-2011 12:00-1:00 PM,85,7,12,15,8,8,135
13-06-2011 1:00-2:00 PM,26,7,8,1,3,6,51
13-06-2011 2:00-3:00 PM,43,8,7,14,11,6,89
13-06-2011 3:00-4:00 PM,32,7,10,11,9,5,74
13-06-2011 4:00-5:00 PM,42,6,20,16,13,5,102
13-06-2011 5:00-6:00 PM,50,0,11,16,11,3,93
13-06-2011 6:00-7:00 PM,57,1,12,19,12,3,104
13-06-2011 7:00-8:00 PM,58,1,6,18,8,4,95
13-06-2011 8:00-9:00 PM,56,0,7,7,5,7,82
13-06-2011 9:00-10:00 PM,35,0,4,10,2,7,58
13-06-2011 10:00-11:00 PM,19,0,7,6,1,8,41
13-06-2011 11:00-12:00 AM,22,1,12,5,0,13,53
14-06-2011 12:00-1:00 AM,13,0,6,11,0,9,39
14-06-2011 1:00-2:00 AM,10,0,5,9,0,5,29
14-06-2011 2:00-3:00 AM,4,0,4,6,0,2,16
14-06-2011 3:00-4:00 AM,7,0,6,3,0,6,22
14-06-2011 4:00-5:00 AM,16,1,5,7,0,7,36
14-06-2011 5:00-6:00 AM,20,1,5,5,3,12,46
14-06-2011 6:00-7:00 AM,31,1,10,11,6,11,70
14-06-2011 7:00-8:00 AM,42,2,12,35,6,7,104
14-06-2011 8:00-9:00 AM,67,3,8,42,17,5,142
14-06-2011 9:00-10:00 AM,95,2,19,27,17,5,165
14-06-2011 10:00-11:00 AM,69,0,10,21,20,0,120
14-06-2011 11:00-12:00 PM,72,1,7,23,12,1,116
14-06-2011 12:00-1:00 PM,63,0,10,19,5,3,100
14-06-2011 1:00-2:00 PM,41,0,7,18,6,7,79
14-06-2011 2:00-3:00 PM,69,0,7,20,9,8,107
14-06-2011 3:00-4:00 PM,71,2,5,13,8,6,108
14-06-2011 4:00-5:00 PM,65,1,6,16,8,2,98
14-06-2011 5:00-6:00 PM,66,0,5,14,9,7,101
14-06-2011 6:00-7:00 PM,85,3,15,12,15,10,140
14-06-2011 7:00-8:00 PM,73,10,13,26,4,7,133
14-06-2011 8:00-9:00 PM,46,1,7,1,2,0,57
14-06-2011 9:00-10:00 PM,45,0,3,8,3,5,64
